1	1	1	0
1	2	0	0
1	11	0	0
1	12	0	0
1	23	0	0
1	24	0	0
2	1	0.9999999999999998	3.2210441786029244e-8
2	2	2.4585080126292636e-23	2.6982508501978766e-23
2	11	3.8632110912564395e-135	3.867592172458126e-135
2	12	-2.1054979558694075e-134	1.195478445126005e-134
2	23	4.989090685782202e-12	1.2592489291062945e-11
2	24	-9.05303333535138e-12	-7.234240711867868e-12
3	1	0.9999999999999983	6.442088365532623e-8
3	2	6.3266057920343345e-22	1.2737845859300214e-22
3	11	7.745878464397529e-133	7.434598524337972e-134
3	12	-1.2702292220707838e-132	1.370399864954034e-132
3	23	2.4915139907955273e-11	3.5356820906462844e-11
3	24	-2.375377262012461e-11	-6.4269825412984174e-12
4	1	0.9999999999999954	9.663132545523983e-8
4	2	4.4325473752352494e-21	-1.0110309668978502e-21
4	11	4.4670406126449645e-131	-1.5036689023415717e-131
4	12	-7.025054093053013e-131	8.325520723137032e-131
4	23	7.168562184716321e-11	7.969319460474899e-11
4	24	-4.726111425779919e-11	-1.9776909657035223e-11
5	1	0.9999999999999916	1.288417672413087e-7
5	2	2.242010628694203e-20	-8.783859212719759e-21
5	11	2.1483126591831923e-129	-9.197385789800307e-130
5	12	-3.951529349297847e-129	4.912586427385559e-129
5	23	1.7399724657643417e-10	1.790729141073945e-10
5	24	-1.2119339782162295e-10	-5.304809022991365e-11
6	1	0.9999999999999867	1.6105220905531445e-7
6	2	1.1936885528602465e-19	-4.716830765809876e-20
6	11	1.1739563291884263e-127	-4.623999305223373e-128
6	12	-2.0801169195551903e-127	2.7042318731847447e-127
6	23	4.024107470192946e-10	4.1265689531546825e-10
6	24	-2.845984226399256e-10	-1.1174149424825629e-10
7	1	0.9999999999999807	1.9326265085637363e-7
7	2	6.385703472678857e-19	-2.523566618632222e-19
7	11	6.274761276598615e-126	-2.4834106924590212e-126
7	12	-1.0930142642845797e-125	1.4087881882458587e-125
7	23	9.191266512327009e-10	9.54367690272073e-10
7	24	-6.424898355382478e-10	-2.5627657747907716e-10
8	1	0.9999999999999738	2.2547309273152384e-7
8	2	3.3102336489067173e-18	-1.301567349213436e-18
8	11	3.234432024389077e-124	-1.2677617202962382e-124
8	12	-5.608912980253818e-124	7.165847777687083e-124
8	23	2.0791602582997563e-9	2.1779208531297587e-9
8	24	-1.453772125916455e-9	-5.764775927754675e-10
9	1	0.9999999999999659	2.5768353453249115e-7
9	2	1.669447813037234e-17	-6.52506379825929e-18
